record_id,framework,capability,model,threshold,n,successes,score,directional_low,directional_high,unresolved_primary,two_sided_low,two_sided_high,unresolved_two_sided,power_at_observed,required_n,prob_above,verdict,is_illustrative,source,assumed_m,effective_n_ref,directional_low_clust,directional_high_clust,unresolved_clust,critical_deff,critical_icc_m5,critical_icc_m10,critical_icc_m20,unresolved_minus1,unresolved_plus1,count_sensitive,n_runs,directional_low_runs,directional_high_runs,unresolved_runs,two_sided_low_runs,two_sided_high_runs,unresolved_two_sided_runs,convention_sensitive,ci_low,ci_high,straddles
A28,Anthropic-RSP,swebench_hard,Opus 4.5,0.5,45,21,0.4667,0.3497,0.5874,1,0.3294,0.6092,1,0.018,2430,0.3294,CANNOT RESOLVE,0,Opus4.5 SysCard 7.3.1 p134 (thr >50% over 10 trials on 45 problems; 21/45 solved),10,16.1,0.282,0.6609,1,1.0,0.0,0.0,0.0,1,1,0,450,0.4283,0.5054,1,0.421,0.5128,1,0,0.3497,0.5874,1
A12,Anthropic-RSP,swebench_hard,Opus 4,0.5,42,17,0.4048,0.2896,0.5314,1,0.2704,0.5551,1,0.0017,293,0.111,CANNOT RESOLVE,0,Opus4 SysCard 7.3.1 p104 (thr >50% over 10 runs; 16.6/42 avg),10,15.0,0.2269,0.6117,1,1.0,0.0,0.0,0.0,1,1,0,420,0.3661,0.4446,0,0.3589,0.4524,0,1,0.2896,0.5314,1
A13,Anthropic-RSP,swebench_hard,Sonnet 4,0.5,42,15,0.3571,0.2476,0.484,0,0.2299,0.5083,1,0.0001,128,0.033,RESOLVED (below threshold),0,Opus4 SysCard 7.3.1,10,15.0,0.1904,0.5675,1,1.27,0.068,0.03,0.014,0,1,1,420,0.3197,0.3964,0,0.3128,0.4041,0,0,0.2476,0.484,0
A14,Anthropic-RSP,swebench_hard,Claude 3.7,0.5,42,10,0.2381,0.148,0.3599,0,0.1348,0.3853,0,0.0,34,0.0003,RESOLVED (below threshold),0,C3.7 SysCard 7.2.2 p30,10,15.0,0.1069,0.4494,0,4.26,0.815,0.362,0.172,0,0,0,420,0.2057,0.2739,0,0.1999,0.2811,0,0,0.148,0.3599,0
A15,Anthropic-RSP,metr_dedup,Opus 4,0.2,46,15,0.3261,0.2248,0.4467,0,0.2087,0.4703,0,0.663,129,0.9829,RESOLVED (above threshold),0,Opus4 SysCard 7.3.2 p104 (thr >=20% of trials F1>80%; score=frac of 46 trials passing),,46.0,0.2248,0.4467,0,,,,,0,0,0,,,,,,,,,0.2248,0.4467,0
A16,Anthropic-RSP,metr_dedup,Sonnet 4,0.2,29,8,0.2759,0.163,0.4269,1,0.147,0.4572,1,0.2884,338,0.8713,CANNOT RESOLVE,0,Opus4 SysCard 7.3.2,,29.0,0.163,0.4269,1,,,,,1,1,0,,,,,,,,,0.163,0.4269,1
A17,Anthropic-RSP,metr_dedup,Claude 3.7,0.2,30,4,0.1333,0.0613,0.266,1,0.0531,0.2968,1,0.0013,334,0.2287,CANNOT RESOLVE,0,C3.7 SysCard 7.2.2 p30,,30.0,0.0613,0.266,1,,,,,1,1,0,,,,,,,,,0.0613,0.266,1
A4,Anthropic-RSP,bioweapons_knowledge,Opus 4,0.818,33,17,0.5152,0.3764,0.6516,0,0.3522,0.675,0,0.0,24,0.0,RESOLVED (below threshold),0,Opus4 SysCard 7.2.4.5 p94 (thr 27/33; Opus4=Sonnet4=17/33),5,18.3,0.334,0.6924,0,7.52,>1,0.724,0.343,0,0,0,,,,,,,,,0.3764,0.6516,0
A4,Anthropic-RSP,bioweapons_knowledge,Sonnet 4,0.818,33,17,0.5152,0.3764,0.6516,0,0.3522,0.675,0,0.0,24,0.0,RESOLVED (below threshold),0,Opus4 SysCard 7.2.4.5 p94 (thr 27/33; Opus4=Sonnet4=17/33),5,18.3,0.334,0.6924,0,7.52,>1,0.724,0.343,0,0,0,,,,,,,,,0.3764,0.6516,0
A5,Anthropic-RSP,bioweapons_knowledge,Claude 3.7,0.818,33,17,0.5152,0.3764,0.6516,0,0.3522,0.675,0,0.0,24,0.0,RESOLVED (below threshold),0,C3.7 SysCard 7.1 p27 (17/33),5,18.3,0.334,0.6924,0,7.52,>1,0.724,0.343,0,0,0,,,,,,,,,0.3764,0.6516,0
