framework,capability,model,n,score,threshold,assumed_m,icc,deff,effective_n,ci_low,ci_high,straddles
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,0.0,1.0,45.0,0.3294,0.6092,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,0.05,1.2,37.5,0.3177,0.6219,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,0.1,1.4,32.1,0.3072,0.6333,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,0.2,1.8,25.0,0.289,0.6532,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,0.3,2.2,20.5,0.2735,0.6704,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,0.5,3.0,15.0,0.2481,0.6988,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,5,1.0,5.0,9.0,0.2036,0.7497,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,0.0,1.0,45.0,0.3294,0.6092,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,0.05,1.45,31.0,0.3047,0.636,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,0.1,1.9,23.7,0.2849,0.6577,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,0.2,2.8,16.1,0.2539,0.6923,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,0.3,3.7,12.2,0.2301,0.7192,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,0.5,5.5,8.2,0.1951,0.7595,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,10,1.0,10.0,4.5,0.1431,0.8209,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,0.0,1.0,45.0,0.3294,0.6092,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,0.05,1.95,23.1,0.2829,0.6599,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,0.1,2.9,15.5,0.2509,0.6956,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,0.2,4.8,9.4,0.2072,0.7455,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,0.3,6.7,6.7,0.1776,0.78,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,0.5,10.5,4.3,0.1391,0.8258,1
Anthropic-RSP,swebench_hard,Opus 4.5,45,0.4667,0.5,20,1.0,20.0,2.2,0.091,0.8844,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,0.0,1.0,42.0,0.2704,0.5551,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,0.05,1.2,35.0,0.2595,0.5688,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,0.1,1.4,30.0,0.2498,0.5813,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,0.2,1.8,23.3,0.2332,0.6033,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,0.3,2.2,19.1,0.2192,0.6222,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,0.5,3.0,14.0,0.1966,0.6539,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,5,1.0,5.0,8.4,0.1581,0.7112,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,0.0,1.0,42.0,0.2704,0.5551,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,0.05,1.45,29.0,0.2476,0.5842,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,0.1,1.9,22.1,0.2295,0.6083,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,0.2,2.8,15.0,0.2017,0.6467,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,0.3,3.7,11.4,0.1809,0.6768,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,0.5,5.5,7.6,0.1509,0.7224,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,10,1.0,10.0,4.2,0.108,0.7925,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,0.0,1.0,42.0,0.2704,0.5551,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,0.05,1.95,21.5,0.2277,0.6107,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,0.1,2.9,14.5,0.1991,0.6504,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,0.2,4.8,8.7,0.1611,0.7065,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,0.3,6.7,6.3,0.1362,0.7457,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,0.5,10.5,4.0,0.1047,0.7981,1
Anthropic-RSP,swebench_hard,Opus 4,42,0.4048,0.5,20,1.0,20.0,2.1,0.0669,0.8658,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,0.0,1.0,42.0,0.2299,0.5083,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,0.05,1.2,35.0,0.2199,0.5226,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,0.1,1.4,30.0,0.2111,0.5356,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,0.2,1.8,23.3,0.1961,0.5586,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,0.3,2.2,19.1,0.1835,0.5786,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,0.5,3.0,14.0,0.1634,0.6124,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,5,1.0,5.0,8.4,0.1298,0.6741,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,10,0.0,1.0,42.0,0.2299,0.5083,1
Anthropic-RSP,swebench_hard,Sonnet 4,42,0.3571,0.5,10,0.05,1.45,29.0,0.2091,0.5387,1
