source_id,framework,eligible_records,no_uncertainty_records,any_uncertainty_records,proper_interval_records,bare_dispersion_records,source_has_any_uncertainty,source_has_proper_interval
apollo-research-in-context-scheming-arxiv-2412-04984,3rd-party,2,2,0,0,0,0,0
arc-evals-kinniment-et-al-2023-arxiv-2312-11671,3rd-party,2,2,0,0,0,0,0
metr-claude-3-7-sonnet-evaluation,3rd-party,2,0,2,2,0,1,1
metr-openai-o1-preview-evaluation,3rd-party,2,0,2,2,0,1,1
uk-aisi-advanced-ai-evaluations-may-update-2024,3rd-party,2,2,0,0,0,0,0
claude-3-5-sonnet-model-card-addendum-jun-2024,Anthropic,1,1,0,0,0,0,0
claude-3-7-sonnet-system-card-feb-2025,Anthropic,8,7,1,0,1,1,0
claude-opus-4-5-system-card-nov-2025,Anthropic,3,3,0,0,0,0,0
claude-opus-4-6-system-card-feb-2026,Anthropic,1,1,0,0,0,0,0
claude-opus-4-7-system-card-apr-2026,Anthropic,1,0,1,1,0,1,1
claude-opus-4-8-system-card-may-2026,Anthropic,1,1,0,0,0,0,0
claude-opus-4-sonnet-4-system-card-may-2025,Anthropic,18,15,3,0,3,1,0
deepmind-gemini-3-1-pro-model-card-feb-2026,DeepMind,2,2,0,0,0,0,0
deepmind-gemini-3-pro-fsf-report-nov-2025,DeepMind,6,5,1,1,0,1,1
google-deepmind-gemini-2-5-report-arxiv-2507-06261,DeepMind,6,6,0,0,0,0,0
phuong-et-al-2024-evaluating-frontier-models-for-dangerous-c,DeepMind,7,4,3,3,0,1,1
openai-gpt-4o-system-card-arxiv-2410-21276,OpenAI,2,2,0,0,0,0,0
openai-gpt-5-5-system-card-apr-2026,OpenAI,9,7,2,0,2,1,0
openai-gpt-5-6-preview-system-card-25-jun-2026,OpenAI,7,7,0,0,0,0,0
openai-o1-system-card-dec-2024,OpenAI,11,11,0,0,0,0,0
openai-o3-o4-mini-system-card-apr-2025,OpenAI,3,3,0,0,0,0,0
