analysis,method,alpha,n_cannot_resolve,n_total
one_sided,wilson,0.1,4,10
one_sided,wilson,0.05,4,10
one_sided,wilson,0.01,6,10
one_sided,beta,0.1,4,10
one_sided,beta,0.05,4,10
one_sided,beta,0.01,6,10
one_sided,agresti_coull,0.1,4,10
one_sided,agresti_coull,0.05,4,10
one_sided,agresti_coull,0.01,6,10
one_sided,beta_posterior,0.1,4,10
one_sided,beta_posterior,0.05,4,10
one_sided,beta_posterior,0.01,6,10
two_sided,wilson,0.1,4,10
two_sided,wilson,0.05,5,10
two_sided,wilson,0.01,6,10
two_sided,beta,0.1,4,10
two_sided,beta,0.05,6,10
two_sided,beta,0.01,6,10
two_sided,agresti_coull,0.1,4,10
two_sided,agresti_coull,0.05,5,10
two_sided,agresti_coull,0.01,6,10
two_sided,beta_posterior,0.1,4,10
two_sided,beta_posterior,0.05,5,10
two_sided,beta_posterior,0.01,6,10
